"cds_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene","locus_tag","protein","protein_id"
"lcl_NZ_CP166677.1_cds_WP_054020783.1_4130",1519.63477910744,0.313493971885759,0.234656019447304,0.164990183228002,0.225980844307072,NA,"ABFT21_RS20850","LytR/AlgR family response regulator transcription factor","WP_054020783.1"
"lcl_NZ_CP166677.1_cds_WP_197284732.1_3763",52.9121329126032,0.480114147748009,0.38699082831889,0.166196978492433,0.227577247541017,NA,"ABFT21_RS18990","hypothetical protein","WP_197284732.1"
"lcl_NZ_CP166677.1_cds_WP_054018455.1_899",200.309230551355,0.34282479388974,0.259561167119263,0.166415448037476,0.227819857772396,NA,"ABFT21_RS04540","enoyl-CoA hydratase/isomerase family protein","WP_054018455.1"
"lcl_NZ_CP166677.1_cds_WP_231638192.1_2936",18134.1283652762,-0.253066376746016,0.190348139017058,0.166829559669677,0.22833011180789,"bamC","ABFT21_RS14830","outer membrane protein assembly factor BamC","WP_231638192.1"
"lcl_NZ_CP166677.1_cds_WP_054020489.1_105",828.12388248506,-0.344748390229488,0.262914038316254,0.167006565065971,0.228515679431787,"creB","ABFT21_RS00530","two-component system response regulator CreB","WP_054020489.1"
"lcl_NZ_CP166677.1_cds_WP_054018399.1_3463",3.91764318575539,0.61424688139116,0.956848185948573,0.167912607059984,0.229690463366244,NA,"ABFT21_RS17470","hypothetical protein","WP_054018399.1"
"lcl_NZ_CP166677.1_cds_WP_054020412.1_687",5800.07227781643,-0.255766176798438,0.182309052435598,0.167948401163572,0.229690463366244,"pyrE","ABFT21_RS03480","orotate phosphoribosyltransferase","WP_054020412.1"
"lcl_NZ_CP166677.1_cds_WP_054019981.1_421",4734.64658201059,0.248252474323384,0.183750079289951,0.168035611330226,0.229752780101327,NA,"ABFT21_RS02120","ABC transporter substrate-binding protein","WP_054019981.1"
"lcl_NZ_CP166677.1_cds_WP_054022049.1_1964",165.110445371907,0.360051330411096,0.276098128322298,0.168946773435132,0.230941364975625,NA,"ABFT21_RS09895","TIGR03752 family integrating conjugative element protein","WP_054022049.1"
"lcl_NZ_CP166677.1_cds_WP_054021419.1_4702",183.90888118081,0.346740427823089,0.264535293039664,0.169084253368324,0.231072040087452,NA,"ABFT21_RS23725","tripartite tricarboxylate transporter substrate binding protein","WP_054021419.1"
"lcl_NZ_CP166677.1_cds_WP_054021748.1_5438",1127.52899876067,-0.447336670431892,0.356776285486739,0.169279252370959,0.231266677110761,NA,"ABFT21_RS27470","ribonuclease P protein component","WP_054021748.1"
"lcl_NZ_CP166677.1_cds_WP_054021897.1_1734",123.619242506979,0.344654752189159,0.262991767036679,0.16931051456414,0.231266677110761,NA,"ABFT21_RS08745","hypothetical protein","WP_054021897.1"
"lcl_NZ_CP166677.1_cds_WP_157548406.1_1413",3708.50271612923,-0.380692565759092,0.296357596725108,0.169546767697599,0.231532058759321,NA,"ABFT21_RS07125","hypothetical protein","WP_157548406.1"
"lcl_NZ_CP166677.1_cds_WP_054022323.1_2865",7154.48505831332,0.283909096308179,0.217116550847904,0.169607041780341,0.231557052586523,"uvrB","ABFT21_RS14475","excinuclease ABC subunit UvrB","WP_054022323.1"
"lcl_NZ_CP166677.1_cds_WP_054021254.1_2648",228.618487404985,0.326806765780099,0.248568297903462,0.16974335368678,0.231685819468077,NA,"ABFT21_RS13385","hypothetical protein","WP_054021254.1"
"lcl_NZ_CP166677.1_cds_WP_054018261.1_3291",347.003483553018,0.407130979235958,0.322568267078862,0.171087515581116,0.233461386284514,NA,"ABFT21_RS16610","hypothetical protein","WP_054018261.1"
"lcl_NZ_CP166677.1_cds_WP_054019318.1_4432",19497.9966162821,-0.260483216402268,0.190756738990034,0.171128846498926,0.233461386284514,NA,"ABFT21_RS22370","carbohydrate kinase family protein","WP_054019318.1"
"lcl_NZ_CP166677.1_cds_WP_054019657.1_3722",1005.91540531626,-0.286074491769539,0.222281928055908,0.17118113312192,0.233474984285199,NA,"ABFT21_RS18785","HD-GYP domain-containing protein","WP_054019657.1"
"lcl_NZ_CP166677.1_cds_WP_054021829.1_2322",359.145408909688,-0.308695721101252,0.235535162119927,0.171406206894917,0.233724182758096,NA,"ABFT21_RS11730","glutathione binding-like protein","WP_054021829.1"
"lcl_NZ_CP166677.1_cds_WP_054019850.1_5120",882.720774894908,-0.301189244461772,0.227904362836485,0.171804348593278,0.23420918981693,NA,"ABFT21_RS25825","ABC transporter ATP-binding protein","WP_054019850.1"
"lcl_NZ_CP166677.1_cds_WP_152543464.1_3343",19.0071776567409,0.614771268145544,0.578566771338718,0.171849775462499,0.234213243880091,NA,"ABFT21_RS16870","hypothetical protein","WP_152543464.1"
"lcl_NZ_CP166677.1_cds_WP_054019037.1_1897",31.1449532559532,-0.553460317303062,0.485616545294171,0.172459847844382,0.234986658571858,NA,"ABFT21_RS09560","DUF4089 domain-containing protein","WP_054019037.1"
"lcl_NZ_CP166677.1_cds_WP_054018965.1_1231",6082.88224481507,-0.258756460797958,0.197852263345267,0.172703112639318,0.23524942863583,NA,"ABFT21_RS06205","PP2C family protein-serine/threonine phosphatase","WP_054018965.1"
"lcl_NZ_CP166677.1_cds_WP_054019636.1_2173",817.744525179867,0.24503488486863,0.184456178823522,0.172737979953552,0.23524942863583,NA,"ABFT21_RS10970","DUF1178 family protein","WP_054019636.1"
"lcl_NZ_CP166677.1_cds_WP_231638242.1_2276",2174.28363039214,-0.249806275606367,0.187811040343002,0.172982600512861,0.235524434113882,"lpxB","ABFT21_RS11495","lipid-A-disaccharide synthase","WP_231638242.1"
"lcl_NZ_CP166677.1_cds_WP_054020678.1_819",1968.14069140233,0.298359432604434,0.226715098201148,0.173233409912833,0.235807728223316,NA,"ABFT21_RS04140","FHA domain-containing protein","WP_054020678.1"
"lcl_NZ_CP166677.1_cds_WP_463938144.1_3733",36.7034549758357,0.494623150618992,0.412497217934369,0.173735508850692,0.236432857012647,NA,"ABFT21_RS18840","hypothetical protein","WP_463938144.1"
"lcl_NZ_CP166677.1_cds_WP_054018495.1_948",769.08691979042,-0.234511891884909,0.176535644236906,0.173978907344825,0.236705704518225,NA,"ABFT21_RS04785","ArsR/SmtB family transcription factor","WP_054018495.1"
"lcl_NZ_CP166677.1_cds_WP_197284760.1_2849",3261.77800664402,-0.293299852760567,0.224469296545031,0.174185272509502,0.236928044485927,NA,"ABFT21_RS14395","SDR family oxidoreductase","WP_197284760.1"
"lcl_NZ_CP166677.1_cds_WP_013721909.1_1993",687.547085098099,-0.331161019928527,0.256248312428635,0.174460623994854,0.23724408739946,"cadR","ABFT21_RS10040","Cd(II)/Pb(II)-responsive transcriptional regulator","WP_013721909.1"
"lcl_NZ_CP166677.1_cds_WP_054019541.1_5303",10906.8172166644,0.198175262975145,0.150701332355356,0.175568000248398,0.238691142772404,NA,"ABFT21_RS26790","M20 family metallopeptidase","WP_054019541.1"
"lcl_NZ_CP166677.1_cds_WP_054022155.1_5323",382.179014704966,-0.412601063266266,0.33173989736528,0.17600863321084,0.239231246470609,NA,"ABFT21_RS26890","2-hydroxyacid dehydrogenase","WP_054022155.1"
"lcl_NZ_CP166677.1_cds_WP_054019713.1_3059",36623.4462727961,-0.291117602868652,0.219465472713473,0.176317676795066,0.239415363740679,NA,"ABFT21_RS15450","aspartate kinase","WP_054019713.1"
"lcl_NZ_CP166677.1_cds_WP_054020454.1_144",658.582312898305,-0.276692034198747,0.211560895471676,0.176234728965629,0.239415363740679,NA,"ABFT21_RS00725","TetR/AcrR family transcriptional regulator","WP_054020454.1"
"lcl_NZ_CP166677.1_cds_WP_054021069.1_4799",16189.0494185107,-0.289232742675419,0.216380521037386,0.176285650325356,0.239415363740679,NA,"ABFT21_RS24215","class 1 fructose-bisphosphatase","WP_054021069.1"
"lcl_NZ_CP166677.1_cds_WP_231638259.1_4719",1343.14009263491,0.349411349831823,0.271824142524373,0.176195592516209,0.239415363740679,NA,"ABFT21_RS23810","DUF1688 family protein","WP_231638259.1"
"lcl_NZ_CP166677.1_cds_WP_054018983.1_1251",783.370875636737,-0.226716089518324,0.171091121541896,0.176504038419165,0.239609443887435,NA,"ABFT21_RS06305","ATP-binding cassette domain-containing protein","WP_054018983.1"
"lcl_NZ_CP166677.1_cds_WP_054021563.1_333",438.567085339576,0.285880233621352,0.218756815732175,0.177163177815594,0.240385944911125,NA,"ABFT21_RS01680","LytR/AlgR family response regulator transcription factor","WP_054021563.1"
"lcl_NZ_CP166677.1_cds_WP_231638189.1_4708",500.424722686465,-0.320501615980972,0.248795419216056,0.177141096121412,0.240385944911125,NA,"ABFT21_RS23755","DUF429 domain-containing protein","WP_231638189.1"
"lcl_NZ_CP166677.1_cds_WP_197284548.1_3382",317.08478396489,-0.27799683815383,0.213163791827736,0.177303804871561,0.240458478730678,"cueR","ABFT21_RS17065","Cu(I)-responsive transcriptional regulator","WP_197284548.1"
"lcl_NZ_CP166678.1_cds_WP_054018117.1_5529",19.5726410263115,0.574073577774351,0.522459793706456,0.177282797835373,0.240458478730678,NA,"ABFT21_RS27925","hypothetical protein","WP_054018117.1"
"lcl_NZ_CP166677.1_cds_WP_054022484.1_4731",577.609050087915,-0.257409183428723,0.196491421489844,0.177610823295502,0.240815657931011,NA,"ABFT21_RS23870","ABC transporter permease","WP_054022484.1"
"lcl_NZ_CP166677.1_cds_WP_197284608.1_5251",369.905433531442,0.327085227405893,0.25406954225053,0.178358796221606,0.241770387900393,NA,"ABFT21_RS26530","DUF2145 domain-containing protein","WP_197284608.1"
"lcl_NZ_CP166677.1_cds_WP_054018743.1_2043",3391.22352493938,0.354576106714674,0.277285123063891,0.178708413673051,0.24212532373139,"recR","ABFT21_RS10300","recombination mediator RecR","WP_054018743.1"
"lcl_NZ_CP166677.1_cds_WP_054021418.1_4701",427.234325576336,0.286834440756171,0.220396606749577,0.178687939524778,0.24212532373139,NA,"ABFT21_RS23720","L-aspartate oxidase","WP_054021418.1"
"lcl_NZ_CP166677.1_cds_WP_054018433.1_3401",293.721734575444,-0.356402795798311,0.281962952700859,0.179488477390628,0.243122496873089,NA,"ABFT21_RS17160","copper chaperone PCu(A)C","WP_054018433.1"
"lcl_NZ_CP166677.1_cds_WP_054019961.1_398",1592.51322326215,0.347594159028782,0.272780615878068,0.179637643595981,0.24320512385743,NA,"ABFT21_RS02005","RNA methyltransferase","WP_054019961.1"
"lcl_NZ_CP166677.1_cds_WP_197284628.1_4626",445.851169796567,0.339225449845075,0.26563254593019,0.179619653598711,0.24320512385743,NA,"ABFT21_RS23345","putative toxin-antitoxin system toxin component, PIN family","WP_197284628.1"
"lcl_NZ_CP166677.1_cds_WP_054018407.1_3473",254.657582421388,0.373924052146063,0.296686433368424,0.179814739374854,0.243385161219596,"traD","ABFT21_RS17520","conjugative transfer system coupling protein TraD","WP_054018407.1"
"lcl_NZ_CP166677.1_cds_WP_231638091.1_354",814.43563561513,-0.313299324477883,0.244268234059682,0.180116168798097,0.24373335866056,NA,"ABFT21_RS01785","nuclear transport factor 2 family protein","WP_231638091.1"
"lcl_NZ_CP166677.1_cds_WP_054020823.1_4181",158.966355437101,-0.28810920797486,0.223144835060002,0.180379256726841,0.244029514311423,NA,"ABFT21_RS21105","alpha/beta hydrolase family protein","WP_054020823.1"
"lcl_NZ_CP166677.1_cds_WP_054018878.1_4353",1202.79186435012,0.324885465416672,0.252636959213046,0.180616230918313,0.244290204946393,NA,"ABFT21_RS21970","class IV adenylate cyclase","WP_054018878.1"
"lcl_NZ_CP166677.1_cds_WP_197284738.1_2296",329.238812980417,0.327771190061577,0.256398754656525,0.181022762113001,0.244780043768977,NA,"ABFT21_RS11595","maltoporin","WP_197284738.1"
"lcl_NZ_CP166677.1_cds_WP_393939896.1_3738",191.989607562793,0.324668413207797,0.253838158217229,0.181139653668837,0.244878086079631,NA,"ABFT21_RS18865","hypothetical protein","WP_393939896.1"
"lcl_NZ_CP166677.1_cds_WP_054017939.1_1322",384.156907095334,-0.28983289220117,0.225468467739255,0.181275631529769,0.245001876322816,NA,"ABFT21_RS06665","transcriptional regulator","WP_054017939.1"
"lcl_NZ_CP166677.1_cds_WP_054021071.1_4796",2404.03682911689,0.352088267960761,0.278024612613547,0.181577780667614,0.245350138609656,NA,"ABFT21_RS24195","ABC transporter permease","WP_054021071.1"
"lcl_NZ_CP166677.1_cds_WP_054021901.1_1730",724.625642732293,-0.418711555802074,0.343277418442045,0.181664191834681,0.245406793915752,NA,"ABFT21_RS08725","Rrf2 family transcriptional regulator","WP_054021901.1"
"lcl_NZ_CP166677.1_cds_WP_463938143.1_3732",55.9763659500873,-0.491463469322342,0.421898168019032,0.182411195534674,0.24635558525454,NA,"ABFT21_RS18835","hypothetical protein","WP_463938143.1"
"lcl_NZ_CP166677.1_cds_WP_054022027.1_2365",373.303982773188,0.245559507863766,0.188670954452415,0.18273292000097,0.24672969154316,NA,"ABFT21_RS11945","CaiB/BaiF CoA transferase family protein","WP_054022027.1"
